;input;filtered;denoisedF;denoisedR;merged;nonchim
Elbe915;21146;21143;18695;20345;15505;15127
Elbe917;22015;22015;18443;20893;14191;13632
SLSU21BBEB1;19529;18747;18338;18730;18162;17696
SLSU21BBEB2;29373;28184;28072;28127;27812;26718
SLSU21BBEB4;9031;8713;8676;8700;8594;7968
SLSU21BBEB6;11196;10750;10704;10723;10598;10394
SLSU21BBEB7;6035;5755;5692;5744;5623;5286
SLSU21BBEB9;86151;82613;80870;82484;78937;73840
SLSU21MGEB1;41878;40287;33047;40181;32031;27076
SLSU21MGEB2;18102;17407;17156;17332;16848;16268
SLSU21MGEB3;26254;25316;24879;25305;24727;22224
SLSU21MGEB4;19491;18816;18659;18780;18451;18049
SLSU21MGEB5;13638;13171;13065;13128;12919;12652
SLSU21MLEB1;13704;13141;13020;13098;12738;12519
SLSU21MLEB2;48037;46292;45676;45427;43206;39162
SLSU21MLEB5;35691;34287;33978;34217;33013;31939
SLSU21MLEB6;36925;35529;35272;35484;34857;33049
SLSU21MLEB7;18010;17337;17168;17275;16881;16090
SLSU21SSEB2;16533;15943;15818;15873;15576;15096
SLSU21SSEB3;36809;35399;34955;35276;34003;33057
SLSU21SSEB5;14203;13574;13294;13529;12871;11522
SLSU21SSEB6;23628;22621;22589;22614;22284;21584
SLSU21SSEB7;16890;16183;16130;16164;15949;14779
