"SAMPLE";"Kind";"Species";"Loc";"geographic location (latitude)";"geographic location (longitude)";"Cruise";"Season";"HamenDate";"Tide";"Hol";"SampleID";"Replicates";"Replicate2";"Depth";"Temperature";"pH";"Conductivity";"Salinity";"O2Sat";"O2";"SecchiDepth";"Maturity";"WaterColumn";"TrophicGuild";"TrophicLevel";"DNA16S";"WaterFiltered [ml]";"RNAseq";"Length";"Weight";"StomachContent";"FillLevel";"LiverWeight";"SpleenWeight";"GonadeWeight";"Age";"Sex";"HSI";"SSI";"GSI";"FultonK";"Lipid";"Protein";"Carbohydrates";"KJ-Lipid";"KJ-Protein";"KJ-Carbohydrate";"MuscleEnergy"
"1";"SLSU21MGEB1";"Fish";"SL";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"SLSU21MGEB1";"SLSU21MG";"SLSU21MG";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";170;37.17;0.7253;2;0.3536;0.0145;0;0;"n";0.951304815711595;0.0390099542641916;0;0.756564217382455;8.70358163201986;94.9708928602601;68.8894418825468;0.343791474464784;2.27930142864624;1.1711205120033;3.79421341511432
"2";"SLSU21MGEB2";"Fish";"SL";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"SLSU21MGEB2";"SLSU21MG";"SLSU21MG";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";167;45.36;2.9816;4;0.4979;0.0233;0;0;"n";1.09766313932981;0.0513668430335097;0;0.97392078047641;15.7179560064935;190.475795384141;66.4349255137836;0.620859262256494;4.5714190892194;1.12939373373432;6.32167208521021
"3";"SLSU21MGEB3";"Fish";"SL";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"SLSU21MGEB3";"SLSU21MG";"SLSU21MG";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";162;39.87;0.0686;0;0.449;0.044;0;0;"n";1.12616002006521;0.110358665663406;0;0.937780487391827;16.5023379497099;246.411010730099;57.675163336396;0.65184234901354;5.91386425752238;0.980477776718731;7.54618438325465
"4";"SLSU21MGEB4";"Fish";"SL";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"SLSU21MGEB4";"SLSU21MG";"SLSU21MG";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";153;30.88;0.9756;3;0.2443;0.0118;0;0;"n";0.791126943005181;0.0382124352331606;0;0.86219003528334;4.09419638622247;76.441339263582;98.6496496020232;0.161720757255788;1.83459214232597;1.67704404323439;3.67335694281615
"5";"SLSU21MGEB5";"Fish";"SL";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"SLSU21MGEB5";"SLSU21MG";"SLSU21MG";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";168;42.75;2.4417;4;0.3419;0.0169;0;0;"n";0.799766081871345;0.0395321637426901;0;0.901588313896987;10.1932133333333;141.354452225261;32.9143044679045;0.402631926666667;3.39250685340627;0.559543175954377;4.35468195602731
"6";"SLSU21MGEB7";"Fish";"SL";"Medem Grund";"53.8363";"8.88777";"Summer_21";"Elbe_Summer_21";2021-08-25;"Ebb";11;"SLSU21MGEB7";"SLSU21MG";"SLSU21MG";11.35;17.3;7.875;1898;11.32;90.95;8.235;37.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";164;38.09;2.3654;4;0.3472;0.0125;0;0;"n";0.911525334733526;0.0328170123391966;0;0.863533973680011;9.94851411182959;102.101886198962;21.1252255839206;0.392966307417269;2.45044526877509;0.359128834926651;3.20254041111901
"7";"SLSU21BBEB1";"Fish";"SL";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"SLSU21BBEB1";"SLSU21BB";"SLSU21BB";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";155;33.94;0.2348;1;0.2947;0.0256;0;0;"n";0.868296994696523;0.075427224513848;0;0.911416199523346;8.60770668802563;95.7403851126524;27.8661724931116;0.340004414177012;2.29776924270366;0.473724932382898;3.11149858926357
"8";"SLSU21BBEB2";"Fish";"SL";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"SLSU21BBEB2";"SLSU21BB";"SLSU21BB";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";136;18.33;0.0886;1;0.1663;0.0158;0;0;"n";0.907255864702673;0.0861974904528096;0;0.728694916547934;5.60900021223912;84.4201505112699;26.7532330376823;0.221555508383445;2.02608361227048;0.454804961640599;2.70244408229452
"9";"SLSU21BBEB4";"Fish";"SL";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"SLSU21BBEB4";"SLSU21BB";"SLSU21BB";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";147;23.29;0.0924;0;0.1331;0.0079;0;0;"n";0.571489909832546;0.0339201373980249;0;0.733191606042204;0.349292664576802;68.2360723230834;12.587792671618;0.0137970602507837;1.637665735754;0.213992475417507;1.86545527142229
"10";"SLSU21BBEB6";"Fish";"SL";"Brunsbuettel";"53.88742";"9.19429";"Summer_21";"Elbe_Summer_21";2021-08-26;"Ebb";13;"SLSU21BBEB6";"SLSU21BB";"SLSU21BB";12.8;17.75;7.865;7023.5;3.88;93.5;8.67;22.5;"Juvenile";"Pelagic";"piscivor";4;"yes";NA;"yes";161;32.96;0.1471;1;0.297;0.0101;0;0;"n";0.901092233009709;0.0306432038834951;0;0.789786261696732;5.29289581339713;83.6397443106101;18.2881770102262;0.209069384629187;2.00735386345464;0.310899009173845;2.52732225725767
